	filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
94	Sep2023_conjBA_BeefDiet_105_L1-145.mzML	102770838.79227188	28089923.615280017	27.332581834869984	L1-145	MS1_pos	DP3	MED2.5	25.0	236.0	Mediterranean
0	Sep2023_conjBA_BeefDiet_014_L1-88.mzML	81809200.10936601	16087487.676230002	19.664643652209733	L1-88	MS1_pos	DP2	MED0.5	22.4	222.0	Mediterranean
122	Sep2023_conjBA_BeefDiet_134_L1-55.mzML	132127997.37576692	33468048.68696999	25.330020398166	L1-55	MS1_pos	DP1	MED2.5	28.6	214.0	Mediterranean
114	Sep2023_conjBA_BeefDiet_129_L1-26.mzML	80529475.98250982	28363084.742345992	35.22074916829977	L1-26	MS1_pos	DP3	MED0.5	24.4	207.0	Mediterranean
151	Sep2023_conjBA_BeefDiet_162_L1-21.mzML	173268293.43248403	34046875.045439996	19.649801109576202	L1-21	MS1_pos	DP3	MED5.5	25.0	206.0	Mediterranean
150	Sep2023_conjBA_BeefDiet_118_L1-92.mzML	5820226698.213474	78737778.53117001	1.3528300977578531	L1-92	MS1_pos	DP1	MED5.5	25.1	223.0	Mediterranean
149	Sep2023_conjBA_BeefDiet_156_L1-52.mzML	263745184.44016597	32627763.47086001	12.370941877144316	L1-52	MS1_pos	DP4	MED2.5	23.4	212.0	Mediterranean
148	Sep2023_conjBA_BeefDiet_152_L1-73.mzML	131808586.97834098	24148309.44092001	18.32074070021561	L1-73	MS1_pos	DP4	MED2.5	25.1	217.0	Mediterranean
147	Sep2023_conjBA_BeefDiet_153_L1-71.mzML	220749494.20995808	34950940.29419999	15.832851812089608	L1-71	MS1_pos	DP2	MED5.5	24.8	217.0	Mediterranean
146	Sep2023_conjBA_BeefDiet_150_L1-62.mzML	181591574.05561495	33685211.06907	18.549985727175553	L1-62	MS1_pos	DP3	MED2.5	25.1	215.0	Mediterranean
145	Sep2023_conjBA_BeefDiet_159_L1-83.mzML	101808513.13228795	24031754.858980004	23.604857903929528	L1-83	MS1_pos	DP4	MED2.5	23.3	219.0	Mediterranean
143	Sep2023_conjBA_BeefDiet_146_L1-137.mzML	681106767.4011072	81942684.26202002	12.030813403115632	L1-137	MS1_pos	DP2	MED5.5	26.2	234.0	Mediterranean
141	Sep2023_conjBA_BeefDiet_158_L1-39.mzML	103102034.12501493	18252319.732480004	17.703161617886618	L1-39	MS1_pos	DP1	MED2.5	26.2	210.0	Mediterranean
111	Sep2023_conjBA_BeefDiet_116_L1-103.mzML	263110540.67837173	53299908.77829002	20.25761060004214	L1-103	MS1_pos	DP3	MED2.5	27.1	225.0	Mediterranean
139	Sep2023_conjBA_BeefDiet_161_L1-2.mzML	96668016.14477918	22857952.33168	23.645827485945055	L1-2	MS1_pos	DP1	MED0.5	25.1	201.0	Mediterranean
