Species,Plant_Family,Acetylcholine,Cannabidiol,Dopamine,Glutamic_acid,Norepinephrine,Serotonin,THC,Tryptamine
Passiflora caerulea,Passifloraceae,0,0,0,0,0,1,0,0
Passiflora filipes,Passifloraceae,0,0,0,0,0,1,0,0
Passiflora foetida,Passifloraceae,0,0,0,1,0,0,0,0
Passiflora hastifolia,Passifloraceae,0,0,0,0,0,1,0,0
Passiflora lobata,Passifloraceae,0,0,0,1,0,0,0,0
Passiflora nephrodes,Passifloraceae,0,0,0,0,0,1,0,0
Passiflora pittieri,Passifloraceae,0,0,0,1,0,0,0,0
Passiflora quadrangularis,Passifloraceae,0,0,0,1,0,0,0,0
Passiflora speciosa,Passifloraceae,0,0,0,0,0,1,0,0
Passiflora talamancensis,Passifloraceae,0,0,0,1,0,0,0,0
Passiflora tenuiloba,Passifloraceae,0,0,0,1,0,0,0,0
Payena leerii,Sapotaceae,0,0,0,1,0,0,0,0
Pentanema britannica,Asteraceae,0,0,0,0,1,0,0,0
Pentas,Rubiaceae,0,0,1,0,1,1,0,0
Peperomia obtusifolia,Piperaceae,0,0,1,0,0,1,0,0
Pereskia grandifolia,Cactaceae,0,0,1,0,1,0,0,0
Persea americana,Lauraceae,0,0,1,1,0,1,0,0
Persea areolatocostae,Lauraceae,0,0,1,0,0,0,0,0
Petroselinum crispum,Apiaceae,0,0,0,0,0,1,0,0
Petunia axillaris,Solanaceae,0,0,0,1,0,0,0,0
Phormium tenax,Asphodelaceae,0,0,0,0,0,1,0,0
Phyla dulcis,Verbenaceae,0,0,0,1,0,0,0,0
Phyllolobium chinense,Fabaceae,0,0,0,1,0,0,0,0
Physalis peruviana,Solanaceae,0,0,0,0,0,1,0,0
Pinus fenzeliana,Pinaceae,0,0,0,0,0,1,0,0
Pinus halepensis,Pinaceae,0,0,0,1,0,0,0,0
Pinus sylvestris,Pinaceae,0,0,0,1,0,0,0,0
Pinus virginiana,Pinaceae,0,0,0,1,0,0,0,0
Piper arboreum,Piperaceae,0,0,0,1,1,0,0,0
Piper betle,Piperaceae,0,0,1,1,1,1,0,0
Piper fimbriulatum,Piperaceae,0,0,0,0,1,0,0,0
Piper longum,Piperaceae,0,0,1,1,0,0,0,0
Piper methysticum,Piperaceae,0,0,1,0,0,0,0,0
Piper nigrum,Piperaceae,0,0,1,0,1,0,0,0
Piper retrofractum,Piperaceae,0,0,1,0,1,1,0,0
Piper sarmentosum,Piperaceae,0,0,1,0,0,0,0,0
Pistacia chinensis,Anacardiaceae,0,0,0,0,0,1,0,0
Pistacia lentiscus,Anacardiaceae,0,0,0,1,0,0,0,0
Pistacia vera,Anacardiaceae,0,0,0,0,0,1,0,0
Platanus occidentalis,Platanaceae,0,0,0,1,0,0,0,0
Pleurothyrium trianae,Lauraceae,0,0,0,0,0,1,0,0
Pogostemon cablin,Lamiaceae,0,0,0,1,0,0,0,0
Polypodium vulgare,Polypodiaceae,0,0,1,0,0,1,0,1
Populus alba,Salicaceae,0,0,0,1,0,0,0,0
Populus nigra,Salicaceae,0,0,0,0,0,1,0,0
Populus trichocarpa,Salicaceae,0,0,1,1,1,1,0,0
Portulaca oleracea subsp. sativa,Portulacaceae,0,0,0,0,1,0,0,0
Potamogeton perfoliatus,Potamogetonaceae,0,0,0,0,0,1,0,0
Pouteria bilocularis,Sapotaceae,0,0,0,0,0,1,0,0
Pouteria torta,Sapotaceae,0,0,0,0,0,1,0,0
Prunella vulgaris,Lamiaceae,0,0,0,0,0,1,0,0
Prunus americana,Rosaceae,0,0,0,0,0,1,0,0
Prunus armeniaca,Rosaceae,0,0,0,1,0,0,0,0
Prunus persica,Rosaceae,0,0,0,1,0,0,0,0
Psiadia glutinosa,Asteraceae,0,0,0,0,0,1,0,0
Psychotria bacteriophila,Rubiaceae,0,0,0,1,0,0,0,0
Quercus suber,Fagaceae,0,0,0,0,0,1,0,0
Quercus velutina,Fagaceae,0,0,0,0,0,1,0,0
Ratibida columnifera,Asteraceae,0,0,0,0,0,1,0,1
Rhodocoma capensis,Restionaceae,0,0,0,0,0,1,0,0
Rhodostemonodaphne kunthiana,Lauraceae,0,0,1,0,0,0,0,0
Riccia bifurca,Ricciaceae,0,0,0,1,0,0,0,0
Riccia sorocarpa,Ricciaceae,0,0,0,1,0,0,0,0
Riccia subbifurca,Ricciaceae,0,0,0,1,0,0,0,0
Rivina humilis,Petiveriaceae,0,0,0,1,0,0,0,0
Robinia viscosa,Fabaceae,0,0,1,0,0,0,0,0
Rosa multiflora,Rosaceae,0,0,0,1,0,0,0,0
Rosa rugosa,Rosaceae,0,0,0,0,0,1,0,0
Rubus argutus,Rosaceae,0,0,0,0,0,1,0,1
Rubus fruticosus,Rosaceae,0,0,0,0,0,0,0,1
Ruprechtia apetala,Polygonaceae,0,0,0,0,0,1,0,0
Ruprechtia laxiflora,Polygonaceae,0,0,1,0,0,1,0,0
Saccharum officinarum,Poaceae,0,0,0,1,0,0,0,0
Salix cinerea,Salicaceae,0,0,0,1,0,0,0,0
Salvia miltiorrhiza,Lamiaceae,0,0,0,1,0,0,0,0
Salvia splendens,Lamiaceae,0,0,0,0,0,1,0,0
Sambucus adnata,Adoxaceae,0,0,0,0,0,1,0,0
Sambucus canadensis,Adoxaceae,0,0,1,0,0,0,0,0
