,Field labels,Acetylcholine,Cannabidiol,Dopamine,GABA,Glutamate,Norepinephrine,Serotonin,THC,Tryptamine
,Field colors,#FF0000,#00FF00,#0000FF,#FFFF00,#000000,#000000,#000000,#000000,#800080
,Field shapes,rectangle,circle,triangle right,star,rectangle,circle,triangle right,star,triangle left
Tree node ID,Tree node label,↓ ↓ INSERT YOUR DATA BELOW ↓ ↓,,,,,,,,
Ctenidium molluscum',Ctenidium molluscum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ginkgo biloba',Ginkgo biloba',-1,-1,-1,-1,-1,-1,-1,-1,-1
Jungermannia,Jungermannia,-1,-1,-1,-1,-1,-1,-1,-1,-1
Marchantia polymorpha',Marchantia polymorpha',-1,-1,1,-1,-1,-1,-1,-1,-1
Gnetum edule',Gnetum edule',-1,-1,-1,-1,-1,-1,-1,-1,-1
Welwitschia mirabilis',Welwitschia mirabilis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ephedra distachya subsp. helvetica',Ephedra distachya subsp. helvetica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ephedra viridis',Ephedra viridis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ephedra sinica',Ephedra sinica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cycas circinalis',Cycas circinalis',-1,-1,-1,-1,1,-1,-1,-1,-1
Cycas siamensis',Cycas siamensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dioon edule',Dioon edule',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ceratozamia mexicana',Ceratozamia mexicana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Zamia pumila',Zamia pumila',-1,-1,-1,-1,-1,-1,-1,-1,-1
Encephalartos altensteinii',Encephalartos altensteinii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Lycopodium clavatum',Lycopodium clavatum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Huperzia serrata',Huperzia serrata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Selaginella delicatula',Selaginella delicatula',-1,-1,-1,-1,-1,-1,-1,-1,-1
Selaginella davidii',Selaginella davidii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Selaginella uncinata',Selaginella uncinata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Selaginella tamariscina',Selaginella tamariscina',-1,-1,-1,-1,-1,-1,-1,-1,-1
Selaginella moellendorffii',Selaginella moellendorffii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Selaginella kraussiana',Selaginella kraussiana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Salvinia natans',Salvinia natans',-1,-1,-1,-1,-1,-1,-1,-1,-1
Psilotum nudum',Psilotum nudum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dicksonia antarctica',Dicksonia antarctica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cibotium barometz',Cibotium barometz',-1,-1,-1,-1,-1,-1,-1,-1,-1
Equisetum arvense',Equisetum arvense',-1,-1,-1,-1,-1,-1,-1,-1,-1
Equisetum hyemale',Equisetum hyemale',-1,-1,-1,-1,-1,-1,-1,-1,-1
Lygodium salicifolium',Lygodium salicifolium',-1,-1,-1,-1,-1,-1,-1,-1,-1
Lygodium palmatum',Lygodium palmatum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Lygodium japonicum',Lygodium japonicum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cheilanthes argentea',Cheilanthes argentea',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pteridium aquilinum',Pteridium aquilinum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Diplazium esculentum',Diplazium esculentum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Nephrolepis exaltata',Nephrolepis exaltata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Nephrolepis biserrata',Nephrolepis biserrata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Neoblechnum brasiliense',Neoblechnum brasiliense',-1,-1,-1,-1,-1,-1,-1,-1,-1
Stenochlaena palustris',Stenochlaena palustris',-1,-1,-1,-1,-1,-1,-1,-1,-1
Polystichum acrostichoides',Polystichum acrostichoides',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dryopteris celsa',Dryopteris celsa',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dryopteris crassirhizoma',Dryopteris crassirhizoma',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dryopteris filix-mas',Dryopteris filix-mas',-1,-1,-1,-1,-1,-1,-1,-1,-1
Asplenium musifolium',Asplenium musifolium',-1,-1,-1,-1,-1,-1,-1,-1,-1
Asplenium ruta-muraria subsp. ruta-muraria',Asplenium ruta-muraria subsp. ruta-muraria',-1,-1,-1,-1,-1,-1,-1,-1,-1
Asplenium onopteris',Asplenium onopteris',-1,-1,-1,-1,-1,-1,-1,-1,-1
Asplenium platyneuron',Asplenium platyneuron',-1,-1,-1,-1,-1,-1,-1,-1,-1
Asplenium trichomanes subsp. quadrivalens',Asplenium trichomanes subsp. quadrivalens',-1,-1,-1,-1,-1,-1,-1,-1,-1
Asplenium ceterach',Asplenium ceterach',-1,-1,-1,-1,-1,-1,-1,-1,-1
Asplenium scolopendrium',Asplenium scolopendrium',-1,-1,-1,-1,-1,-1,-1,-1,-1
Campyloneurum phyllitidis',Campyloneurum phyllitidis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Microgramma lycopodioides',Microgramma lycopodioides',-1,-1,-1,-1,-1,-1,-1,-1,-1
Microsorum musifolium',Microsorum musifolium',-1,-1,-1,-1,-1,-1,-1,-1,-1
Platycerium angolense',Platycerium angolense',-1,-1,-1,-1,-1,-1,-1,-1,-1
Polypodium vulgare',Polypodium vulgare',-1,-1,1,-1,-1,-1,-1,-1,-1
Aglaomorpha bonii',Aglaomorpha bonii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Aglaomorpha fortunei',Aglaomorpha fortunei',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pyrrosia lingua',Pyrrosia lingua',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pyrrosia gralla',Pyrrosia gralla',-1,-1,-1,-1,-1,-1,-1,-1,-1
Wollemia nobilis',Wollemia nobilis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dacrydium elatum',Dacrydium elatum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Podocarpus macrophyllus',Podocarpus macrophyllus',-1,-1,-1,-1,-1,-1,1,-1,-1
Podocarpus madagascariensis',Podocarpus madagascariensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Taxus baccata',Taxus baccata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Taxus brevifolia',Taxus brevifolia',-1,-1,-1,-1,-1,-1,-1,-1,-1
Sequoiadendron giganteum',Sequoiadendron giganteum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Platycladus orientalis',Platycladus orientalis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cupressus sempervirens',Cupressus sempervirens',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cupressus duclouxiana',Cupressus duclouxiana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Thuja plicata',Thuja plicata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Thuja occidentalis',Thuja occidentalis',-1,-1,-1,-1,-1,-1,1,-1,-1
Juniperus oxycedrus subsp. oxycedrus',Juniperus oxycedrus subsp. oxycedrus',-1,-1,-1,-1,-1,-1,-1,-1,-1
Juniperus horizontalis',Juniperus horizontalis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Juniperus scopulorum',Juniperus scopulorum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Juniperus sabina',Juniperus sabina',-1,-1,-1,-1,-1,-1,-1,-1,-1
Juniperus thurifera',Juniperus thurifera',-1,-1,-1,-1,-1,-1,-1,-1,-1
Juniperus communis',Juniperus communis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Juniperus virginiana',Juniperus virginiana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Tsuga heterophylla',Tsuga heterophylla',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pseudotsuga menziesii',Pseudotsuga menziesii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Larix laricina',Larix laricina',-1,-1,-1,-1,-1,-1,-1,-1,-1
Larix decidua subsp. decidua',Larix decidua subsp. decidua',-1,-1,-1,-1,-1,-1,-1,-1,-1
Abies lasiocarpa var. bifolia',Abies lasiocarpa var. bifolia',-1,-1,-1,-1,-1,-1,-1,-1,-1
Abies amabilis',Abies amabilis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Abies grandis',Abies grandis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Abies alba',Abies alba',-1,-1,-1,-1,-1,-1,-1,-1,-1
Picea mariana',Picea mariana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Picea engelmannii',Picea engelmannii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Picea pungens',Picea pungens',-1,-1,-1,-1,-1,-1,-1,-1,-1
Picea glauca',Picea glauca',-1,-1,-1,-1,-1,-1,-1,-1,-1
Picea abies',Picea abies',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pinus brutia var. eldarica',Pinus brutia var. eldarica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pinus pungens',Pinus pungens',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pinus flexilis',Pinus flexilis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pinus densiflora',Pinus densiflora',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pinus virginiana',Pinus virginiana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pinus merkusii',Pinus merkusii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pinus banksiana',Pinus banksiana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pinus taeda',Pinus taeda',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pinus sylvestris',Pinus sylvestris',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pinus strobus',Pinus strobus',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pinus longaeva',Pinus longaeva',-1,-1,-1,-1,-1,-1,-1,-1,-1
Gonocaryum lobbianum',Gonocaryum lobbianum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Picramnia latifolia',Picramnia latifolia',-1,-1,-1,-1,-1,-1,-1,-1,-1
Tribulus terrestris',Tribulus terrestris',-1,-1,-1,-1,-1,-1,-1,-1,-1
Guaiacum officinale',Guaiacum officinale',-1,-1,-1,-1,-1,-1,-1,-1,-1
Acorus calamus',Acorus calamus',-1,-1,-1,-1,-1,-1,1,-1,-1
Acorus gramineus',Acorus gramineus',-1,-1,-1,-1,-1,-1,-1,-1,-1
Buxus sempervirens',Buxus sempervirens',-1,-1,-1,-1,-1,-1,-1,-1,-1
Sarcococca ruscifolia',Sarcococca ruscifolia',-1,-1,-1,-1,-1,-1,-1,-1,-1
Canella winterana',Canella winterana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Tasmannia piperita',Tasmannia piperita',-1,-1,-1,-1,-1,-1,-1,-1,-1
Nuphar japonica',Nuphar japonica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Nymphaea nouchali',Nymphaea nouchali',-1,-1,-1,-1,-1,-1,-1,-1,-1
Nymphaea lotus',Nymphaea lotus',-1,-1,-1,-1,-1,-1,-1,-1,-1
Eucommia ulmoides',Eucommia ulmoides',-1,-1,-1,-1,-1,-1,-1,-1,-1
Aucuba japonica',Aucuba japonica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Aucuba himalaica',Aucuba himalaica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dioscorea hispida',Dioscorea hispida',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dioscorea tokoro',Dioscorea tokoro',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dioscorea communis',Dioscorea communis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dioscorea polystachya',Dioscorea polystachya',-1,-1,-1,-1,-1,-1,-1,-1,-1
Illicium verum',Illicium verum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Kadsura coccinea',Kadsura coccinea',-1,-1,-1,-1,-1,-1,-1,-1,-1
Kadsura interior',Kadsura interior',-1,-1,-1,-1,-1,-1,-1,-1,-1
Schisandra chinensis',Schisandra chinensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Schisandra propinqua',Schisandra propinqua',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pelargonium graveolens',Pelargonium graveolens',-1,-1,-1,-1,-1,-1,-1,-1,-1
Geranium maculatum',Geranium maculatum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Geranium nodosum',Geranium nodosum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Geranium thunbergii',Geranium thunbergii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Geranium robertianum',Geranium robertianum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Carludovica palmata',Carludovica palmata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Stemona japonica',Stemona japonica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Xerophyta dasylirioides',Xerophyta dasylirioides',-1,-1,-1,-1,-1,-1,-1,-1,-1
Xerophyta schlechteri',Xerophyta schlechteri',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pandanus odoratissimus',Pandanus odoratissimus',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pandanus amaryllifolius',Pandanus amaryllifolius',-1,-1,-1,-1,-1,-1,-1,-1,-1
Tetracera indica',Tetracera indica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dillenia pentagyna',Dillenia pentagyna',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dillenia obovata',Dillenia obovata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dillenia hookeri',Dillenia hookeri',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dillenia philippinensis',Dillenia philippinensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Dillenia indica',Dillenia indica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Chloranthus holostegius',Chloranthus holostegius',-1,-1,-1,-1,-1,-1,-1,-1,-1
Sarcandra glabra',Sarcandra glabra',-1,-1,-1,-1,-1,-1,-1,-1,-1
Sarcandra hainanensis',Sarcandra hainanensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Hedyosmum lechleri',Hedyosmum lechleri',-1,-1,-1,-1,-1,-1,-1,-1,-1
Hedyosmum scabrum',Hedyosmum scabrum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Hedyosmum racemosum',Hedyosmum racemosum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Hedyosmum cuatrecazanum',Hedyosmum cuatrecazanum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Pontederia crassipes',Pontederia crassipes',-1,-1,-1,-1,-1,-1,-1,-1,-1
Siderasis fuscata',Siderasis fuscata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cochliostema odoratissimum',Cochliostema odoratissimum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Tradescantia spathacea',Tradescantia spathacea',-1,-1,-1,-1,-1,-1,-1,-1,-1
Tradescantia virginiana',Tradescantia virginiana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Tradescantia pallida',Tradescantia pallida',-1,-1,1,-1,-1,-1,-1,-1,-1
Tradescantia zebrina',Tradescantia zebrina',-1,-1,1,-1,-1,-1,-1,-1,-1
Helwingia omeiensis',Helwingia omeiensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ilex szechwanensis',Ilex szechwanensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ilex verticillata',Ilex verticillata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ilex paraguariensis',Ilex paraguariensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ilex macrocarpa',Ilex macrocarpa',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ilex opaca',Ilex opaca',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ilex aquifolium',Ilex aquifolium',-1,-1,-1,-1,-1,-1,-1,-1,-1
Nelumbo nucifera',Nelumbo nucifera',-1,-1,-1,-1,-1,-1,1,-1,-1
Platanus occidentalis',Platanus occidentalis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Meliosma solomonii',Meliosma solomonii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Sabia schumanniana',Sabia schumanniana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Grevillea robusta',Grevillea robusta',-1,-1,-1,-1,-1,-1,-1,-1,-1
Panopsis,Panopsis,-1,-1,-1,-1,-1,-1,-1,-1,-1
Macadamia jansenii',Macadamia jansenii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Euplassa,Euplassa,-1,-1,-1,-1,-1,-1,-1,-1,-1
Smilax china',Smilax china',-1,-1,-1,-1,-1,-1,-1,-1,-1
Smilax rotundifolia',Smilax rotundifolia',-1,-1,-1,-1,-1,-1,-1,-1,-1
Veratrum nigrum',Veratrum nigrum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Trillium tschonoskii',Trillium tschonoskii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Paris verticillata',Paris verticillata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Fritillaria thunbergii',Fritillaria thunbergii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Fritillaria meleagris',Fritillaria meleagris',-1,-1,-1,-1,-1,-1,-1,-1,-1
Lilium lancifolium',Lilium lancifolium',-1,-1,-1,-1,-1,-1,1,-1,-1
Lilium hansonii',Lilium hansonii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Strombosia grandifolia',Strombosia grandifolia',-1,-1,-1,-1,-1,-1,-1,-1,-1
Viscum coloratum',Viscum coloratum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Lepidoceras chilense',Lepidoceras chilense',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ximenia americana',Ximenia americana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Agonandra,Agonandra,-1,-1,-1,-1,-1,-1,-1,-1,-1
Heisteria concinna',Heisteria concinna',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ptychopetalum olacoides',Ptychopetalum olacoides',-1,-1,-1,-1,-1,-1,-1,-1,-1
Olax imbricata',Olax imbricata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Macrosolen cochinchinensis',Macrosolen cochinchinensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Scurrula parasitica',Scurrula parasitica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Hydrangea macrophylla',Hydrangea macrophylla',-1,-1,-1,-1,-1,-1,-1,-1,-1
Nyssa sylvatica',Nyssa sylvatica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cornus sanguinea',Cornus sanguinea',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cornus drummondii',Cornus drummondii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cornus amomum',Cornus amomum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cornus nuttallii',Cornus nuttallii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cornus officinalis',Cornus officinalis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cornus alternifolia',Cornus alternifolia',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cornus mas',Cornus mas',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cornus florida',Cornus florida',-1,-1,-1,-1,-1,-1,-1,-1,-1
Brunellia boliviana',Brunellia boliviana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Sloanea terniflora',Sloanea terniflora',-1,-1,-1,-1,-1,-1,-1,-1,-1
Sloanea grandiflora',Sloanea grandiflora',-1,-1,-1,-1,-1,-1,-1,-1,-1
Averrhoa carambola',Averrhoa carambola',-1,-1,-1,-1,1,-1,-1,-1,-1
Oxalis triangularis',Oxalis triangularis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Weinmannia pinnata',Weinmannia pinnata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cunonia capensis',Cunonia capensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Connarus perrottetii',Connarus perrottetii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Connarus semidecandrus',Connarus semidecandrus',-1,-1,-1,-1,-1,-1,-1,-1,-1
Connarus cochinchinensis',Connarus cochinchinensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ampelocissus arachnoidea',Ampelocissus arachnoidea',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ampelopsis japonica',Ampelopsis japonica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Causonis trifolia',Causonis trifolia',-1,-1,-1,-1,-1,-1,-1,-1,-1
Parthenocissus quinquefolia',Parthenocissus quinquefolia',-1,-1,-1,-1,-1,-1,-1,-1,-1
Tetrastigma cruciatum',Tetrastigma cruciatum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Tetrastigma strumarum',Tetrastigma strumarum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cyphostemma laza',Cyphostemma laza',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cyphostemma elephantopus',Cyphostemma elephantopus',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cissus rotundifolia',Cissus rotundifolia',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cissus repanda',Cissus repanda',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cissus verticillata',Cissus verticillata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Vitis vulpina',Vitis vulpina',-1,-1,-1,-1,-1,-1,-1,-1,-1
Vitis amurensis',Vitis amurensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Vitis vinifera',Vitis vinifera',-1,-1,-1,-1,-1,-1,-1,-1,-1
Vitis sp.',Vitis sp.',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ehretia cymosa',Ehretia cymosa',-1,-1,-1,-1,-1,-1,-1,-1,-1
Ehretia microcalyx',Ehretia microcalyx',-1,-1,-1,-1,-1,-1,-1,-1,-1
Varronia multispicata',Varronia multispicata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cordia ucayaliensis',Cordia ucayaliensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cordia lasiocalyx',Cordia lasiocalyx',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cordia ecalyculata',Cordia ecalyculata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cordia alliodora',Cordia alliodora',-1,-1,-1,-1,-1,-1,-1,-1,-1
Symphytum officinale',Symphytum officinale',-1,-1,-1,-1,-1,-1,-1,-1,-1
Buglossoides arvensis',Buglossoides arvensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Anchusa officinalis',Anchusa officinalis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Echium vulgare',Echium vulgare',-1,-1,-1,-1,-1,-1,-1,-1,-1
Borago officinalis',Borago officinalis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cynoglossum officinale',Cynoglossum officinale',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cynoglossum lanceolatum',Cynoglossum lanceolatum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Lithospermum erythrorhizon',Lithospermum erythrorhizon',-1,-1,-1,-1,-1,-1,-1,-1,-1
Lithospermum carolinense',Lithospermum carolinense',-1,-1,-1,-1,-1,-1,-1,-1,-1
Brahea edulis',Brahea edulis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Calamus salicifolius',Calamus salicifolius',-1,-1,-1,-1,-1,-1,-1,-1,-1
Caryota urens',Caryota urens',-1,-1,-1,-1,-1,-1,-1,-1,-1
Oenocarpus mapora',Oenocarpus mapora',-1,-1,-1,-1,-1,-1,-1,-1,-1
Chamaedorea metallica',Chamaedorea metallica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Bismarckia nobilis',Bismarckia nobilis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Bactris gasipaes',Bactris gasipaes',-1,-1,-1,-1,-1,-1,-1,-1,-1
Licuala grandis',Licuala grandis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Borassus flabellifer',Borassus flabellifer',-1,-1,-1,-1,-1,-1,-1,-1,-1
Arenga caudata',Arenga caudata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Areca catechu',Areca catechu',-1,-1,-1,-1,-1,-1,-1,-1,-1
Mauritia flexuosa',Mauritia flexuosa',-1,-1,-1,-1,-1,-1,-1,-1,-1
Trachycarpus fortunei',Trachycarpus fortunei',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cocos nucifera',Cocos nucifera',-1,-1,-1,-1,-1,-1,-1,-1,-1
Serenoa repens',Serenoa repens',-1,-1,-1,-1,-1,-1,-1,-1,-1
Euterpe oleracea',Euterpe oleracea',-1,-1,-1,-1,-1,-1,1,-1,-1
Euterpe precatoria',Euterpe precatoria',-1,-1,-1,-1,-1,-1,-1,-1,-1
Phoenix dactylifera',Phoenix dactylifera',-1,-1,-1,-1,-1,-1,-1,-1,-1
Phoenix canariensis',Phoenix canariensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Begonia palmata',Begonia palmata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Hodgsonia macrocarpa',Hodgsonia macrocarpa',-1,-1,-1,-1,-1,-1,-1,-1,-1
Solena amplexicaulis',Solena amplexicaulis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Coccinia grandis',Coccinia grandis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Gynostemma pentaphyllum',Gynostemma pentaphyllum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Benincasa hispida',Benincasa hispida',-1,-1,-1,-1,-1,-1,-1,-1,-1
Lagenaria siceraria',Lagenaria siceraria',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cucurbita pepo',Cucurbita pepo',-1,-1,-1,-1,-1,-1,-1,-1,-1
Citrullus,Citrullus,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bryonia dioica',Bryonia dioica',-1,-1,-1,-1,-1,-1,-1,-1,-1
Momordica charantia',Momordica charantia',-1,-1,-1,-1,-1,-1,-1,-1,-1
Momordica cochinchinensis',Momordica cochinchinensis',-1,-1,-1,-1,-1,-1,-1,-1,-1
Luffa aegyptiaca',Luffa aegyptiaca',-1,-1,-1,-1,-1,-1,-1,-1,-1
Luffa operculata',Luffa operculata',-1,-1,-1,-1,-1,-1,-1,-1,-1
Cucumis melo',Cucumis melo',-1,-1,-1,-1,-1,-1,1,-1,-1
Cucumis sativus',Cucumis sativus',-1,-1,-1,-1,-1,-1,-1,-1,-1
Xerosicyos perrieri',Xerosicyos perrieri',-1,-1,-1,-1,-1,-1,-1,-1,-1
Xerosicyos pubescens',Xerosicyos pubescens',-1,-1,-1,-1,-1,-1,-1,-1,-1
Xerosicyos danguyi',Xerosicyos danguyi',-1,-1,-1,-1,-1,-1,-1,-1,-1
Trichosanthes dunniana',Trichosanthes dunniana',-1,-1,-1,-1,-1,-1,-1,-1,-1
Trichosanthes rosthornii',Trichosanthes rosthornii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Trichosanthes kirilowii',Trichosanthes kirilowii',-1,-1,-1,-1,-1,-1,-1,-1,-1
Zostera marina',Zostera marina',-1,-1,-1,-1,-1,-1,-1,-1,-1
Alisma plantago-aquatica subsp. orientale',Alisma plantago-aquatica subsp. orientale',-1,-1,-1,-1,-1,-1,-1,-1,-1
Echinodorus macrophyllus',Echinodorus macrophyllus',-1,-1,-1,-1,-1,-1,-1,-1,-1
Limnobium laevigatum',Limnobium laevigatum',-1,-1,-1,-1,-1,-1,-1,-1,-1
Hydrocharis dubia',Hydrocharis dubia',-1,-1,-1,-1,-1,-1,-1,-1,-1
