TaxID	no rank	superkingdom	kingdom	phylum	class	order	family	genus	subgenus	species	varietas	subspecies	forma
1046468			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Chamaesyce	Euphorbia hyssopifolia			
1046491			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Chamaesyce	Euphorbia ophthalmica			
1138350			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Athymalus	Euphorbia mammillaris			
212944			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Athymalus	Euphorbia obesa			
334676			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Euphorbia	Euphorbia grandicornis			
213002			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Euphorbia	Euphorbia weberbaueri			
212842			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Euphorbia	Euphorbia abdelkuri			
457243			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Chamaesyce	Euphorbia cotinifolia			
318062			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Chamaesyce	Euphorbia hirta			
212836			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Chamaesyce	Euphorbia prostrata			
216478			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Euphorbia	Euphorbia ingens			
209356			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Euphorbia	Euphorbia stenoclada			
1129970			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Euphorbia	Euphorbia ammak			
1129992			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Euphorbia	Euphorbia fiherenensis			
1087772			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia nicaeensis			
212925			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia lathyris			
212941			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia myrsinites			
216475			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Chamaesyce	Euphorbia dentata			
1334443			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Chamaesyce				
212900			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Chamaesyce	Euphorbia graminea			
213047			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Athymalus	Euphorbia globosa			
216999			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Athymalus	Euphorbia horrida			
65559			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Euphorbia	Euphorbia milii			
526192			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia characias		Euphorbia characias subsp. wulfenii	
